Studienrichtung,Frauen,Frauen in %,Männer,Studien gesamt,Studien in % von Gesamt-TUW
Architektur,2.957,"55,3 %",2.392,5.349,"20,5 %"
Bauingenieurwesen,824,"32,1 %",1.742,2.566,"9,8 %"
Biomedical Engineering,150,"41,2 %",214,364,"1,4 %"
Computational Logic,1,100 %,0,1,"0,004 %"
Elektrotechnik,338,"14,6 %",1.972,2.310,"8,8 %"
Informatik,946,"18,6 %",4.130,5.076,"19,4 %"
Individuelle Studien,1,"4,8 %",20,21,"0,08 %"
Informatikmanagement (auslaufend),0,0 %,3,3,"0,01 %"
Lehramtsstudien,7,"43,8 %",9,16,"0,06 %"
Maschinenbau,183,"10,7 %",1.521,1.704,"6,5 %"
Materialwissenschaften,32,"28,1 %",82,114,"0,4 %"
Raumplanung und Raumordnung,573,"50,1 %",570,1.143,"4,4 %"
Technische Chemie,582,"42,8 %",779,1.361,"5,2 %"
Technische Mathematik,374,"30,3 %",860,1.234,"4,7 %"
Technische Physik,354,21 %,1.334,1.688,"6,5 %"
Verfahrenstechnik,141,"26,8 %",385,526,"2,0 %"
Vermessung und Geoinformation,104,"31,9 %",222,326,"1,2 %"
Wirtschaftsinformatik,152,"18,3 %",677,829,"3,2 %"
Wirtschaftsingenieurwesen-Maschinenbau,255,"17,5 %",1.205,1.460,"5,6 %"
Sonstige,4,"21,1 %",15,19,"0,1%"
Summe,7.978,"30,6 %",18.132,26.110, 
