,Studienrichtung,Frauen,Männer,Studien gesamt,Studium in % Anteil
0,Architektur,2957,2392,5349,20.486 %
1,Bauingenieurwesen,824,1742,2566,9.828 %
2,Biomedical Engineering,150,214,364,1.394 %
3,Computational Logic,1,0,1,0.004 %
4,Elektrotechnik,338,1972,2310,8.847 %
5,Informatik,946,4130,5076,19.441 %
6,Individuelle Studien,1,20,21,0.08 %
7,Informatikmanagement (auslaufend),0,3,3,0.011 %
8,Lehramtsstudien,7,9,16,0.061 %
9,Maschinenbau,183,1521,1704,6.526 %
10,Materialwissenschaften,32,82,114,0.437 %
11,Raumplanung und Raumordnung,573,570,1143,4.378 %
12,Technische Chemie,582,779,1361,5.213 %
13,Technische Mathematik,374,860,1234,4.726 %
14,Technische Physik,354,1334,1688,6.465 %
15,Verfahrenstechnik,141,385,526,2.015 %
16,Vermessung und Geoinformation,104,222,326,1.249 %
17,Wirtschaftsinformatik,152,677,829,3.175 %
18,Wirtschaftsingenieurwesen-Maschinenbau,255,1205,1460,5.592 %
19,Sonstige,4,15,19,0.073 %
20,Summe,7978,18132,26110,100.0 %
